Dataset,Feature,Mean_Positive,Median_Positive,Variance_Positive,Mean_Negative,Median_Negative,Variance_Negative
Dataset_10,charLength,28.346153846153847,21.0,526.2647928994083,21.426099158091674,14.0,849.0106752418047
Dataset_10,tokenLength,3.25,2.0,4.9951923076923075,4.047708138447147,2.0,54.5730279559768
Dataset_10,numsParentVariableDeclarationFragment,0.17884615384615382,0.0,0.12615507889546354,0.25586103651130543,0.0,0.17130297521846682
Dataset_10,isName,0.038461538461538464,0.0,0.03698224852071006,0.33208606173994387,0.0,0.221804909337998
Dataset_10,isLiteral,0.0,0.0,0.0,0.1216089803554724,0.0,0.10682023625237475
Dataset_10,isGetMethod,0.46153846153846156,0.0,0.2485207100591716,0.08933582787652011,0.0,0.08135493773413688
Dataset_10,isArithmeticExp,0.07692307692307693,0.0,0.0710059171597633,0.24134705332086062,0.0,0.1830986531741983
Dataset_10,largestLineGap,6.326923076923077,1.0,269.0277366863905,6.470065481758653,0.0,428.32113385913584
Dataset_10,numsParentArithmeticExp,1.8846153846153846,1.0,12.178994082840237,2.46866230121609,0.0,118.828063785866
Dataset_10,isMethodInvocation,0.6153846153846154,1.0,0.23668639053254437,0.15481758652946678,0.0,0.13084910143065787
